name,English_name,character_name,img_url
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,Maquia: When the Promised Flower Blooms,Ariel,https://cdn.myanimelist.net/images/characters/5/349462.jpg
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,Maquia: When the Promised Flower Blooms,Ariel,https://cdn.myanimelist.net/images/characters/5/367528.jpg
Yuru Camp△ Movie,Laid-Back Camp: The Movie,"Shima, Rin",https://cdn.myanimelist.net/images/characters/8/333094.jpg
Yuru Camp△ Movie,Laid-Back Camp: The Movie,"Shima, Rin",https://cdn.myanimelist.net/images/characters/16/333100.jpg
Yuru Camp△ Movie,Laid-Back Camp: The Movie,"Shima, Rin",https://cdn.myanimelist.net/images/characters/14/337012.jpg
Yuru Camp△ Movie,Laid-Back Camp: The Movie,"Shima, Rin",https://cdn.myanimelist.net/images/characters/14/353089.jpg
Yuru Camp△ Movie,Laid-Back Camp: The Movie,"Shima, Rin",https://cdn.myanimelist.net/images/characters/10/358813.jpg
Yuru Camp△ Movie,Laid-Back Camp: The Movie,"Shima, Rin",https://cdn.myanimelist.net/images/characters/6/368348.jpg
Yuru Camp△ Movie,Laid-Back Camp: The Movie,"Shima, Rin",https://cdn.myanimelist.net/images/characters/16/416404.jpg
Yuru Camp△ Movie,Laid-Back Camp: The Movie,"Shima, Rin",https://cdn.myanimelist.net/images/characters/13/444264.jpg
Yuru Camp△ Movie,Laid-Back Camp: The Movie,"Shima, Rin",https://cdn.myanimelist.net/images/characters/14/444267.jpg
Yuru Camp△ Movie,Laid-Back Camp: The Movie,"Shima, Rin",https://cdn.myanimelist.net/images/characters/7/444269.jpg
Yuru Camp△ Movie,Laid-Back Camp: The Movie,"Shima, Rin",https://cdn.myanimelist.net/images/characters/9/445910.jpg
Yuru Camp△ Movie,Laid-Back Camp: The Movie,"Shima, Rin",https://cdn.myanimelist.net/images/characters/8/456226.jpg
Yuru Camp△ Movie,Laid-Back Camp: The Movie,"Shima, Rin",https://cdn.myanimelist.net/images/characters/4/509699.jpg
Yuru Camp△ Movie,Laid-Back Camp: The Movie,"Shima, Rin",https://cdn.myanimelist.net/images/characters/13/509700.jpg
Yuru Camp△ Movie,Laid-Back Camp: The Movie,"Shima, Rin",https://cdn.myanimelist.net/images/characters/4/563695.jpg
Josee to Tora to Sakana-tachi,"Josee, the Tiger and the Fish",Manager Nishida,https://cdn.myanimelist.net/images/characters/9/573425.jpg
Josee to Tora to Sakana-tachi,"Josee, the Tiger and the Fish",Kondou,https://cdn.myanimelist.net/images/characters/2/573427.jpg
Josee to Tora to Sakana-tachi,"Josee, the Tiger and the Fish",Mizushima,https://cdn.myanimelist.net/images/characters/2/573426.jpg
Josee to Tora to Sakana-tachi,"Josee, the Tiger and the Fish","Yamamura, Chizu",https://cdn.myanimelist.net/images/characters/5/458136.jpg
Josee to Tora to Sakana-tachi,"Josee, the Tiger and the Fish",Fujita,https://cdn.myanimelist.net/images/characters/11/573423.jpg
Josee to Tora to Sakana-tachi,"Josee, the Tiger and the Fish","Kishimoto, Kana",https://cdn.myanimelist.net/images/characters/12/416418.jpg
Josee to Tora to Sakana-tachi,"Josee, the Tiger and the Fish","Kishimoto, Kana",https://cdn.myanimelist.net/images/characters/12/458123.jpg
Josee to Tora to Sakana-tachi,"Josee, the Tiger and the Fish","Matsuura, Hayato",https://cdn.myanimelist.net/images/characters/9/416419.jpg
Josee to Tora to Sakana-tachi,"Josee, the Tiger and the Fish","Matsuura, Hayato",https://cdn.myanimelist.net/images/characters/2/458134.jpg
Josee to Tora to Sakana-tachi,"Josee, the Tiger and the Fish","Ninomiya, Mai",https://cdn.myanimelist.net/images/characters/4/416420.jpg
Josee to Tora to Sakana-tachi,"Josee, the Tiger and the Fish","Ninomiya, Mai",https://cdn.myanimelist.net/images/characters/7/458137.jpg
Josee to Tora to Sakana-tachi,"Josee, the Tiger and the Fish","Suzukawa, Tsuneo",https://cdn.myanimelist.net/images/characters/6/416417.jpg
Josee to Tora to Sakana-tachi,"Josee, the Tiger and the Fish","Suzukawa, Tsuneo",https://cdn.myanimelist.net/images/characters/5/447730.jpg
Josee to Tora to Sakana-tachi,"Josee, the Tiger and the Fish","Suzukawa, Tsuneo",https://cdn.myanimelist.net/images/characters/4/447731.jpg
Josee to Tora to Sakana-tachi,"Josee, the Tiger and the Fish","Suzukawa, Tsuneo",https://cdn.myanimelist.net/images/characters/6/458135.jpg
Josee to Tora to Sakana-tachi,"Josee, the Tiger and the Fish",Josee,https://cdn.myanimelist.net/images/characters/12/416416.jpg
